Question,Option A,Option B,Option C,Option D,Right Answer
What is the capital of France?,Paris,London,Berlin,Rome,A
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,B
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,B
What is the chemical symbol for water?,H2O,CO2,NaCl,O2,A
How many continents are there on Earth?,5,6,7,8,C
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,C
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
What is the smallest prime number?,0,1,2,3,C
Which country is home to the kangaroo?,India,South Africa,Australia,Brazil,C
What is the currency of Japan?,Yuan,Euro,Dollar,Yen,D
How many bones are there in an adult human body?,206,208,210,212,A
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B
What is the boiling point of water in Celsius?,90°C,100°C,110°C,120°C,B
Which is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Orca,B
How many colors are there in a rainbow?,5,6,7,8,C
What is the primary language spoken in Brazil?,Spanish,English,French,Portuguese,D
Which organ filters blood in the human body?,Heart,Lungs,Kidneys,Liver,C
Who was the first person to walk on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Sally Ride,A
What is the square root of 64?,6,7,8,9,C
Which country gifted the Statue of Liberty to the USA?,United Kingdom,France,Germany,Italy,B
What is the fastest land animal?,Leopard,Cheetah,Lion,Gazelle,B
Which element has the atomic symbol 'O'?,Gold,Oxygen,Osmium,Silver,B
What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,B
How many days are in a leap year?,364,365,366,367,C
What is the main ingredient in guacamole?,Tomato,Onion,Avocado,Pepper,C
Which instrument is used to measure temperature?,Barometer,Thermometer,Anemometer,Hygrometer,B
Who is known as the father of modern physics?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,B
What is the capital of Italy?,Venice,Florence,Naples,Rome,D
How many teeth does an adult human typically have?,28,30,32,34,C
Which planet is closest to the Sun?,Venus,Earth,Mercury,Mars,C
What is the name of the ship that sank in 1912?,Britannic,Olympic,Titanic,Lusitania,C
Who wrote the Harry Potter series?,J.R.R. Tolkien,George R.R. Martin,J.K. Rowling,C.S. Lewis,C
What is the standard unit of electrical resistance?,Volt,Watt,Ampere,Ohm,D
Which country is known as the Land of the Rising Sun?,China,South Korea,Japan,Thailand,C
What is the capital of Canada?,Toronto,Vancouver,Montreal,Ottawa,D
How many sides does an octagon have?,6,7,8,9,C
What is the largest organ of the human body?,Liver,Brain,Skin,Intestines,C
Which vitamin is produced when human skin is exposed to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D
What is the capital city of Australia?,Sydney,Melbourne,Brisbane,Canberra,D
Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Gregor Mendel,A
What is the chemical formula for table salt?,HCl,NaOH,NaCl,H2O,C
Which ocean lies between Europe and North America?,Pacific,Atlantic,Indian,Arctic,B
How many primary colors are there?,2,3,4,5,B
What is the tallest mountain in the world?,Mount K2,Mount Kilimanjaro,Mount Everest,Mount Fuji,C
Which country hosted the 2012 Summer Olympics?,China,Brazil,United Kingdom,Japan,C
What gas makes up most of the Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Argon,B
Who is the author of 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Mark Twain,A
What is the study of mushrooms called?,Botany,Mycology,Phycology,Zoology,B
How many time zones are there in the world?,12,24,36,48,B
